text	user_id	news_id	cluster
Let's hope it's true	820611468496404481	politifact15409	3
Not sure how true this is......but won't it be nice to finally get some REAL news for a change? LOL	373209073	politifact15409	3
and its happening now  trump and trump supporters are breaking our news now	816669855952814081	politifact15409	3
People will remember them as Fake News! 	69827646	politifact15409	3
Yeah! Purely a whacky Dem. Propaganda machine that was bound to collapse.	831284979904761856	politifact15409	3
This has to be fake!, But hope it's not!	2270947838	politifact15409	3
So long 	347696176	politifact15409	3
CNN is a LYING sack of 	4216495573	politifact15409	3
They are indeed!	347696176	politifact15409	3
your welcome.	2445586759	politifact15409	3
You truly believe that bro? Compare it this way they're too big to fail	806214506263232514	politifact15409	3
I think they will try to rebrand themselves.  I guess time will tell.	317223956	politifact15409	3
"They hung themselves. #LEN
Liberal
Entertainment
Networks.
Which one is next?"	795010116881784832	politifact15409	3
I can only hope	2678473986	politifact15409	3
IS MY DREAM FINALLY COMING TRUE! !	842847132893626372	politifact15409	3
I do there's no faith in msm and worst and oldest is CNN not so the video people that watch think it's real news are old same with fox but not near as bad CNN	117382326	politifact15409	3
I never believe these types of videos.  I have seen far too much made up crap in them.  While I do like the thought that the title provides, I will look elsewhere for confirmation.	110572400	politifact15409	3
"#FakeNews 
CNN NOT To Permanently Close Its Doors As Ratings Plunge 30%"	101193997	politifact15409	3
Please, oh please, oh please!!!!!	2280615715	politifact15409	3
I wish..	1009252154127757312	politifact15409	3
Brace do you believe everything you see on the internet?	138980709	politifact15409	3
This is bull	796078924459626497	politifact14565	3
So fake! Fox makes too much money on Trump as it is for them to cancel games	887644276355735553	politifact14565	3
Fake news	881742545885069314	politifact14565	3
OMG...I hope that is true.	330272635	politifact14565	3
The source of your story is a fake news site.	598538283	politifact14565	3
"Bravo Fox Sports!!!
Wake Up America!!! Let's take our Nation back from these socialist liberal leftys that r poisoning r kids, schools"	896175957593272320	politifact14565	3
Finally a corporation that has balls, they now their base for their ratings, too bad owners are liberal	796773527877779456	politifact14565	3
Forget apple pie, mother and the flag. What Fox believes in is that most cherished of all Americana->MONEY! Not broadcast NFL? Right!	815241784607416324	politifact14565	3
Haha, puhleeese. Fox loves the almighty dollar way too much to give up the NFL broadcasts. #TakeAKnee	824253716131966978	politifact14565	3
I wish FOX would do that! Their viewers - all of whom are boycotting the NFL - would crucify them. Even those they wouldn't be watching. :)	233728740	politifact14565	3
...and filed Chapter 7 immediately after the announcement.	2405583276	politifact14565	3
LOL	511919316	politifact14565	3
Fox commentators will talk about NFL boycotts, but no way Fox will walk away from NFL revenue	376521614	politifact14565	3
No way. Too much money involved	14869498	politifact14565	3
Snopes Silver, for rumors only people over 75 believe	983010836	politifact14565	3
I loled for real	14501408	politifact14565	3
I think it's fake news...... too much $$$ involved to take that stand......	1651022539	politifact14565	3
Well done foxsports. Well done	751269136802557956	politifact14565	3
Nope. Just gonna make a lot of pissed off people call that number.	917960180	politifact14789	3
#MAGA.	2974047566	politifact14789	3
Doesn' t surprise me one bit!	919391291468845056	politifact15287	3
Sure and I veterans are homeless!WTF #Lock up those bottom feeders	823159765790494720	politifact15287	3
The crimes of the Clinton crime syndicate just keep coming!!!!	894486041289031680	politifact15287	3
Sorry this is a hoax.	547606698	politifact15287	3
Some are saying this is a hoax.	547606698	politifact15287	3
Wow is this true! Can't believe it what a gift if true from the Clintons!	838117188225490944	politifact15287	3
Sometimes	817147068833824768	politifact15287	3
Darknet has four reports on cash found but no stories linking to Clinton Foundation yet. Checking validity. Let u know when I do or U let me know if you get AP line. Thanx	433851538	politifact15287	3
I laugh if the Clintons went flat broke!	19519035	politifact15287	3
So where us the news 400 m is just chunk change	743457982613184513	politifact15287	3
The #MSM cant report anything that will cast  king and queen clinton in a bad light.	3291164095	politifact15287	3
Oops	35512608	politifact15287	3
Think this is a sarcastic web page, all for fun.	25553417	politifact15287	3
This is a hoax.	921715542305660928	politifact15287	3
That's fake news.	753029677279809537	politifact15287	3
Wow	987220009	politifact15287	3
They seem to have surrounded a caravan park.	1573918574	politifact15287	3
