text	user_id	news_id	cluster
Nonsense i tell you, nonsense. The preseason counts for nothing and the majority of the starting players are still on holiday	82589835	politifact12104	0
3)  age of 65 have existing medical conditions, according to Kaiser Family Foundation. Before the Affordable Care Act marketplace launched in 2014, people with chronic diseases who tried to buy their own insurance were routinely denied coverage based on their medical history.	831657095497969664	politifact12104	0
And I should have understood before Dec. 2016 NB & LCG's sexual relationship, but I was very naive & in denial which wasn't hard because they had been such good friends for years. NB didn't explicitly say. Before Feb, 2016, I thought NB & his friend, CS, were married so	1045926567992598529	politifact12104	0
"A bright smile crossed her face before she reached to cradle his cheeks in her hands. ""Four more days...and I'll be all yours."""	990336915328192514	politifact12104	0
6/ Fish Mueller ain't happy: While Manafort was cooperating with the old carp, his lawyers were briefing Trump's lawyers on everything Mueller was asking and everything Manafort was saying in response.	54808703	politifact8537	0
"Even world leaders appreciated Manmohan Singh's way of governing India at the time of world meltdown ...Me Kupatra can confirm this from Anupam Kher, who is right now working on a movie 'Accidental PM' 
By the waythis is called economy in reverse gear"	814071365623914496	politifact12104	0
ChanYeol could be a amateur writer/journalist following his dreams. Sehun is the youngest and wants to enlist in military. Jongin falls in love with theatre and dance but he has no contacts. Junmyeon as an old brother/sort of father fighting day by day their problems	274293080	politifact12104	0
5) Losing immigrant tax payers while cutting taxes will increase debt/make prices rise, etc.	777760152984236032	politifact1180	0
"I don't think you'd be this mad if I criticized your wife or son.
(Who are lovely, FTR.)
Calm down.
We get it.
You are All Mo All The Time
no matter how much he embarasses this district.
No need to prove anything.
Enjoy your weekend. "	701934781051834368	politifact1067	0
fired about eight bullets and missed the driver (and passenger) with all eight. The fourth officer fired five bullets wounding the passenger, wounding the driver and then killing the driver. Of the 65 bullets fired by these experience police officers (they all had more than 5	59513330	politifact12104	0
I understand about drugs I am an 80s teenager and my 3 fathers where my biological father. Who took the divorce out on my and the other was Vice President of a Motorcycle Club he past away but boy did I learn a lot! And the 3rd was the president they both knew my mom since she	2346090786	politifact12104	0
"Sometimes I misjudge how long a chapter is going to be and it turns into two. That's common.

But I've never had one chapter turn into four before."	2335975436	politifact12104	0
"""...to amend the Internal Revenue Code of 1986 to provide incentives for energy production and conservation, to extend certain expiring provisions, to provide individual income tax relief, and for other purposes."""	1046864876205834240	politifact1467	0
"I help him with the dishes. Running upstairs to find the leash. Its not on his nightstand so I guess it's in his nightstand. I open it. quickly grabbing my leash running back downstairs to greet him.

""Do I um....have to wear it at school. I'm scared people will say things."""	963619286341255168	politifact12104	0
"God is 1 person known by many names: 
1 John 5:7
For there are three that bear record in heaven, the Father, the Word, and the Holy Ghost: and these three are one.
Job 13:8 Will ye accept his person? will ye contend for God?"	450891633	politifact12104	0
I think the walkout is totally silly myself but the kid needed to do what he was told, sorry but you need to listen to your teachers and administrators, he could have just went to study hall	916896704003297280	politifact15191	0
"couple years ago, like 5 or 6 I've seen in TV ppl praising chipping in Germany on program called ""Galileo"" its world trend"	2589354816	politifact14289	0
"#WIPquisition D28 - What does MC's room look like?

It's been a while since Raena has had her own room. Her childhood and only home burned down eight years ago. But before that, her room was filled with toys and trinkets that her father, Jase, used to make her."	2802772232	politifact12104	0
"But he will never bite the hands that feed him... A walking ""special Interest"""	929917192396828672	politifact14896	0
"11. I'll be honest, when the article said that the longest wait times they could find were just over a month, and that typical people allowed in only waited 5 days, my reaction was, ""Wait, that's it?"""	626660983	politifact14548	0
It would make sense for him to go back home and grieve and given how secretive he is and probably not wanting to burden his family more so with the knowledge they could never truly reunite. Likely hide his identity from them. Whatcha all think?	918968562038878208	politifact12104	0
"Son of God is a title given to Jesus in the Bible.
God the son is Jesus' nature implied in many verses in the Bible. Both in the new and the old testament"	361381186	politifact12104	0
"""O-oh stop that your going to make me blush, Elesa.""

Her smile grew brighter and she giggled. While a blush formed on her cheeks making her turn her head away and hide it."	782520824456765440	politifact12104	0
these people r killers they have over 100 people now thats suicided. but madcow is in danger now. but this is a way to get take down  msnbc	882024042173255680	politifact14644	0
"1. Tech finishes 3-0, while UAB goes 1-2 or 0-3

2. Tech finishes 2-1 and wins against USM, while UAB goes 0-3

3. Tech finishes 2-1 and loses to USM, while UAB goes 0-3, and USM loses to Marshall or UTEP"	794224950647410692	politifact12104	0
She is pure filth and my 6 month old fish tank water cleaner than her what she spews! I filter and clean my stuff lol.	704198615561011200	politifact12104	0
