text	user_id	news_id	cluster
One can only hope....	26289022	politifact15109	1
Prostate cancer?	797698711090561024	politifact15109	1
POTUS DJT #MAGA  #DrainingTheDeepState #G7Summit #VoteRed2018	4862145824	politifact15501	5
Let's see some reputable evidence for this claim	829204081998721025	politifact15501	0
Oh come on Steph you know his approval ratings can't be higher that the anointed one Obama! ( yes that was dripping with sarcasm) haha. I am LOVING everything this President is and has been doing!	968211990706503680	politifact15501	8
Great president!	347696176	politifact15501	6
Dam right it is!!!	1905026599	politifact15501	6
Who are they polling?	549242185	politifact15501	0
IT'S A RASMUSSEN POLL...SIGNIFICANT BIAS...WAKE UP TO REALITY...YOU ARE IN THE MINORITY1	2282106170	politifact15501	9
#TRUMPery's support is getting deeper, not broader. That means more racists , isolationists, & xenophobes, not more American, approve of him. I'm not concerned with anything a Trump supporter has to say.  Now, I have asked nicely. This is not a request. TAKE ME OFF YOUR LIST.	800157578399354880	politifact15501	8
Your flavor of idiocy may require the creation of a special new list	949092599796711425	politifact15501	7
A FOX News Poll! Means about as much as your post. Nothing!	277435188	politifact15501	6
Lol, because the FOX NEWS polls are to be believed? That's too cute. Try some aggregate polling numbers, slick.	542723383	politifact15501	9
Yes I agree!!!!!	823320884794396675	politifact15501	6
#PotusJune14	141033886	politifact15501	0
And yet we have never seen the level of daily attacks and vicious hostility that President Trump has to endure on a daily basis It really makes you wonder The kooks are very clearly in the minority here but the media is definitely carrying their water 	158429392	politifact15501	9
Mine too!!!!!!	856277748502941696	politifact15501	6
Man I praying that Kim  listens to trump! And raises his country out of poverty and sanctions! 	961260529799933952	politifact15501	1
OBAMA HAD ALL THAT FAKE NEWS HELPING HIM OUT. TRUMP HAS THE FAKE NEWS AGAINST HIM, BUT THE AMERICAN PEOPLE SUPPORTING HIM.	175004773	politifact15501	1
Despite the constant onslaught of negativity and hatred! Keep fighting the good fight, President Trump!!	1610808006	politifact15501	1
LOVE My PRESIDENT!!!!	929539572442255360	politifact15501	6
I am sure it is.	822957032932249600	politifact15501	7
Imagine what his approval rating would be if they gave him 25% positive press??? Not even 50%! The numbers would be staggering if they just reported the news & allowed us to formulate our own opinions! Mind control of the weak is all they have besides hate.	978864793477054465	politifact15501	3
Thank you 	978864793477054465	politifact15501	5
You're welcome 	810580991651749888	politifact15501	0
Agreed! Pres Trump has made it his priority to help these children.That's why Jeff Sessions has released 29 K indictments.The elitists are intertwined in this sacrilegious trafficking bec they don't value human life & because they are Godless. It's about $	978864793477054465	politifact15501	7
#WINNING	725064846056640512	politifact15501	0
I needed a good laugh tonight.  Thank you!	993213525836251136	politifact15501	6
Nope.	27739926	politifact15501	0
Excellent!! 	913171216084566017	politifact15501	5
"Funny how viscerally anti Pres Trump #channel4news has stopped regularly broadcasting the popularity figures since they started being better than those of their hero (and frequent breaker of electoral law) Barking Obarmy.

Why is that do you think?"	90182089	politifact15501	9
How could it NOT be??? I approve 110% myself! Yep...He's MY President! 	785982940006129664	politifact15501	10
Boom! Lies.	606631997	politifact15501	10
Yea right	933200931155595265	politifact15501	5
Fake poll put out by govt run tv	66495289	politifact15501	6
Just imagine if we had an honest and fair media, would be off the charts!!!	52156428	politifact15501	9
I love Trump	746042534032465920	politifact15501	5
"Fantastic news! We're winning daily.

Meanwhile the libs can't seem to adjust to us no longer being the world's doormat."	901448848178003969	politifact15501	7
Never understood why people liked #obama #LiberalismIsAMentalDisorder	1002383524496674816	politifact15501	7
MAGA!	706010917016719360	politifact15501	6
11 snowflakes heads exploded just now reading this.	1001914657177788416	politifact15501	0
Which is why the liberals are all saying how bad it is he left the summit.. They want him to fail so badly. Thank God for President Trump.	540423112	politifact15501	1
Ivanka 2024	3399891132	politifact15501	5
"Great news but polls can deter turn out. 
We must get out the vote even if polls show him at 100% approval."	16320885	politifact15501	9
Imagine that	64869018	politifact15501	5
Add another 15 points to that approval rating due to biased pollsters and people taking the poll that are scared to say they like Trump out of retaliation from leftist loons..	834406159092162560	politifact15501	9
"Because Trump believes that
""Charity begins at home""
and acts accordingly"	4202906594	politifact15501	9
My President 	967844093102579713	politifact15501	0
Fake news!!!	997979176417230848	politifact15501	6
 #MAGA	803940451208335360	politifact15501	5
Best President. None dare challenge We the People.	3039238163	politifact15501	1
Make america great again 	493380257	politifact15501	6
and who is the winner?	2996801073	politifact15501	0
Trump is like Yo I'll wait #MAGA	3002261867	politifact15501	0
We love him ... no matter what the media says	938791233681534976	politifact15501	1
FAKE news!	23530838	politifact15501	6
Your country seriously need to invest more in education.	3199395991	politifact15501	1
Are u drunk? People hate your president.	4203281254	politifact15501	10
Unreal considering #fakenews!	791036626860404736	politifact15501	0
Here 	197820801	politifact15501	0
We lov our First Family	932998739706425344	politifact15501	5
Joe you don't believe the polls do ya? Our commander and chief is killing it!!! Fuck the polls!!! NOW!#LockTheBitchUpAlready	938763765062995968	politifact15501	2
Rosenstein, Mueller Pelosi stupidity is the gift that keeps on giving to push his approval ratings over the edge along with is excellent leadership..	2582736318	politifact15501	7
Who reported this Foxnews?	16153289	politifact15501	6
