id,cluster
politifact100,1
politifact1013,6
politifact1014,3
politifact10185,3
politifact10209,9
politifact1027,7
politifact10276,7
politifact1028,4
politifact10332,6
politifact10348,9
politifact10371,8
politifact10408,9
politifact10413,3
politifact10533,0
politifact1063,4
politifact1067,8
politifact10731,2
politifact10787,1
politifact1084,2
politifact10877,1
politifact10903,1
politifact10945,2
politifact11021,2
politifact1106,9
politifact11066,6
politifact11072,4
politifact11115,7
politifact1118,7
politifact11189,9
politifact11208,8
politifact11314,7
politifact11399,5
politifact114,7
politifact11416,3
politifact1143,8
politifact11552,4
politifact11577,2
politifact11580,1
politifact1161,1
politifact11627,7
politifact11699,6
politifact11709,1
politifact11711,1
politifact1176,1
politifact11761,3
politifact1177,9
politifact11770,1
politifact11777,2
politifact1180,7
politifact1185,5
politifact11855,7
politifact11882,3
politifact11899,1
politifact11931,7
politifact11960,4
politifact11989,2
politifact1201,5
politifact12017,5
politifact1204,5
politifact12052,1
politifact12057,1
politifact12070,8
politifact12079,4
politifact12104,7
politifact1212,5
politifact12120,4
politifact1213,4
politifact12294,8
politifact12418,9
politifact12486,6
politifact12587,6
politifact12627,3
politifact12748,3
politifact12755,1
politifact12770,1
politifact12773,1
politifact1279,8
politifact12801,7
politifact12924,8
politifact12944,6
politifact12945,8
politifact13013,1
politifact13052,3
politifact13058,6
politifact13068,4
politifact13130,4
politifact13132,7
politifact13136,1
politifact13138,4
politifact1315,7
politifact13193,3
politifact13229,2
politifact13244,8
politifact13260,8
politifact13283,7
politifact13305,3
politifact13310,1
politifact13352,8
politifact1337,4
politifact13395,3
politifact13420,5
politifact13431,8
politifact13469,3
politifact13477,2
politifact13548,3
politifact13619,7
politifact13682,1
politifact1375,4
politifact13900,6
politifact14036,1
politifact14064,8
politifact14114,3
politifact14167,8
politifact14174,5
politifact14474,7
politifact14511,4
politifact1454,5
politifact1467,8
politifact14731,8
politifact1488,4
politifact14940,6
politifact14984,9
politifact150,6
politifact15133,9
politifact15175,7
politifact1519,7
politifact15453,8
politifact1560,5
politifact15645,6
politifact1575,5
politifact1576,5
politifact160,5
politifact1614,8
politifact1624,5
politifact1678,6
politifact1690,4
politifact1701,3
politifact1714,8
politifact1731,1
politifact1741,5
politifact1755,1
politifact1770,3
politifact1783,1
politifact179,4
politifact1820,5
politifact1825,1
politifact1866,7
politifact1892,8
politifact1899,8
politifact1924,3
politifact1949,5
politifact200,5
politifact201,4
politifact2019,2
politifact2028,5
politifact2048,6
politifact207,5
politifact2093,8
politifact211,6
politifact212,7
politifact2128,8
politifact2131,5
politifact2139,8
politifact2166,1
politifact2205,1
politifact230,4
politifact2318,6
politifact239,7
politifact2393,5
politifact2435,1
politifact245,7
politifact2450,4
politifact246,8
politifact247,8
politifact2594,5
politifact261,7
politifact2624,5
politifact263,4
politifact2714,6
politifact2734,5
politifact279,5
politifact2816,8
politifact285,5
politifact287,4
politifact288,5
politifact2881,7
politifact304,8
politifact3050,8
politifact310,5
politifact3115,5
politifact3117,5
politifact3180,8
politifact319,5
politifact3192,7
politifact3198,5
politifact320,5
politifact3221,1
politifact3251,5
politifact3281,8
politifact3335,5
politifact340,5
politifact341,5
politifact3428,0
politifact3455,7
politifact3468,5
politifact348,9
politifact3527,9
politifact3539,9
politifact3581,1
politifact3632,5
politifact368,1
politifact3693,1
politifact370,5
politifact3734,1
politifact377,7
politifact379,7
politifact384,5
politifact385,2
politifact3892,5
politifact3898,3
politifact3919,8
politifact401,5
politifact4028,9
politifact4069,1
politifact408,3
politifact4088,4
politifact409,3
politifact4130,5
politifact4177,7
politifact4190,9
politifact4275,3
politifact429,4
politifact4291,8
politifact4306,3
politifact435,1
politifact4372,5
politifact439,3
politifact440,3
politifact4411,6
politifact4433,4
politifact4555,6
politifact4586,7
politifact4588,0
politifact4720,5
politifact4787,6
politifact4809,9
politifact4850,5
politifact486,5
politifact4875,3
politifact4879,8
politifact4887,2
politifact489,3
politifact4926,6
politifact495,8
politifact497,5
politifact498,5
politifact499,7
politifact5011,5
politifact503,9
politifact509,5
politifact512,7
politifact513,7
politifact5237,3
politifact5321,8
politifact535,2
politifact539,5
politifact5439,5
politifact5447,5
politifact5469,5
politifact554,1
politifact5608,7
politifact5632,4
politifact5659,8
politifact568,1
politifact5690,8
politifact57,1
politifact5778,4
politifact5868,8
politifact596,5
politifact608,5
politifact6173,5
politifact620,5
politifact6234,3
politifact6267,5
politifact627,2
politifact6277,5
politifact636,4
politifact6360,8
politifact6408,5
politifact642,8
politifact6472,1
politifact6473,1
politifact65,5
politifact6519,7
politifact6537,5
politifact6556,7
politifact6603,3
politifact6612,4
politifact6641,4
politifact6645,5
politifact6646,7
politifact6657,4
politifact667,5
politifact673,1
politifact6730,8
politifact674,6
politifact677,6
politifact679,2
politifact6842,1
politifact6871,1
politifact6907,1
politifact6931,3
politifact6932,3
politifact6939,3
politifact695,5
politifact720,4
politifact7293,7
politifact73,7
politifact736,5
politifact7376,4
politifact746,4
politifact7489,5
politifact7506,4
politifact751,1
politifact7511,3
politifact7540,5
politifact7595,6
politifact7618,1
politifact7665,2
politifact7668,4
politifact7669,4
politifact7714,6
politifact773,5
politifact780,3
politifact787,7
politifact7872,6
politifact7888,8
politifact7923,5
politifact8005,6
politifact8045,6
politifact806,7
politifact8069,3
politifact8071,3
politifact8085,1
politifact810,4
politifact8118,6
politifact8119,6
politifact8130,7
politifact8152,5
politifact8172,3
politifact8221,7
politifact8227,1
politifact8259,1
politifact8371,3
politifact8470,6
politifact8537,7
politifact8557,6
politifact8611,3
politifact8621,8
politifact87,9
politifact8737,1
politifact8769,6
politifact8778,4
politifact8805,7
politifact8838,4
politifact8846,1
politifact8987,5
politifact8989,1
politifact9033,1
politifact9107,2
politifact9151,6
politifact934,1
politifact938,2
politifact939,2
politifact948,5
politifact95,6
politifact951,4
politifact9512,4
politifact9576,3
politifact958,1
politifact959,5
politifact9622,3
politifact9691,8
politifact9734,5
politifact975,9
politifact979,8
politifact98,2
politifact9802,3
politifact986,2
politifact99,5
politifact999,7
politifact11773,7
politifact13038,5
politifact13467,8
politifact13468,3
politifact13475,6
politifact13484,3
politifact13496,8
politifact13501,2
politifact13515,5
politifact13544,1
politifact13557,7
politifact13559,2
politifact13560,8
politifact13565,2
politifact13576,6
politifact13577,3
politifact13584,5
politifact13589,6
politifact13591,7
politifact13601,2
politifact13608,5
politifact13617,2
politifact13663,4
politifact13677,7
politifact13687,8
politifact13698,5
politifact13703,1
politifact13711,5
