id,cluster
gossipcop-736743,7
gossipcop-846584,10
gossipcop-849582,10
gossipcop-859536,0
gossipcop-867544,0
gossipcop-896925,9
gossipcop-897762,3
gossipcop-900662,6
gossipcop-904018,8
gossipcop-909236,8
gossipcop-917078,4
gossipcop-918677,6
gossipcop-925473,8
gossipcop-927487,3
gossipcop-938655,0
gossipcop-940448,11
gossipcop-947446,2
gossipcop-1391794235,2
gossipcop-1551062653,7
gossipcop-1718137654,10
gossipcop-3189527671,5
gossipcop-3440851442,1
gossipcop-3564327541,1
gossipcop-4637304937,1
gossipcop-4667952878,4
gossipcop-4728026144,5
gossipcop-4888675652,11
gossipcop-6451659869,9
gossipcop-8126566490,9
gossipcop-9340207780,4
